DAY,BITHUMB
2017-07-01 00:00:00,340
2017-07-01 04:00:00,20
2017-07-01 08:00:00,3980
2017-07-01 12:00:00,6700
2017-07-01 16:00:00,640
2017-07-01 20:00:00,520
2017-07-02 00:00:00,20
2017-07-02 04:00:00,420
2017-07-02 08:00:00,2640
2017-07-02 12:00:00,240
2017-07-02 16:00:00,700
2017-07-02 20:00:00,2880
2017-07-03 00:00:00,0
2017-07-03 04:00:00,2480
2017-07-03 08:00:00,3220
2017-07-03 12:00:00,200
2017-07-03 16:00:00,780
2017-07-03 20:00:00,1320
2017-07-04 00:00:00,2060
2017-07-04 04:00:00,300
2017-07-04 08:00:00,2360
2017-07-04 12:00:00,2660
2017-07-04 16:00:00,400
2017-07-04 20:00:00,600
2017-07-05 00:00:00,3740
2017-07-05 04:00:00,800
2017-07-05 08:00:00,1000
2017-07-05 12:00:00,1500
2017-07-05 16:00:00,3980
2017-07-05 20:00:00,4200
2017-07-06 00:00:00,28740
2017-07-06 04:00:00,5760
2017-07-06 08:00:00,9220
2017-07-06 12:00:00,36540
2017-07-06 16:00:00,57220
2017-07-06 20:00:00,3360
2017-07-07 00:00:00,11980
2017-07-07 04:00:00,2040
2017-07-07 08:00:00,4820
2017-07-07 12:00:00,12860
2017-07-07 16:00:00,12500
2017-07-07 20:00:00,15240
