DAY,BITHUMB,POLONEIX
2017-07-01 00:00:00,49500,44780
2017-07-01 04:00:00,49600,43465
2017-07-01 08:00:00,49650,42466
2017-07-01 12:00:00,48700,43085
2017-07-01 16:00:00,48150,42678
2017-07-01 20:00:00,48700,42692
2017-07-02 00:00:00,48100,41075
2017-07-02 04:00:00,47750,41648
2017-07-02 08:00:00,47400,40055
2017-07-02 12:00:00,46500,41673
2017-07-02 16:00:00,46550,42515
2017-07-02 20:00:00,47500,42657
2017-07-03 00:00:00,47050,44851
2017-07-03 04:00:00,48630,45378
2017-07-03 08:00:00,49000,45441
2017-07-03 12:00:00,49220,49132
2017-07-03 16:00:00,54520,50700
2017-07-03 20:00:00,55750,52723
2017-07-04 00:00:00,56000,51334
2017-07-04 04:00:00,55760,50827
2017-07-04 08:00:00,56200,56673
2017-07-04 12:00:00,61300,57559
2017-07-04 16:00:00,60090,56100
2017-07-04 20:00:00,59260,57301
2017-07-05 00:00:00,61850,56177
2017-07-05 04:00:00,61700,61340
2017-07-05 08:00:00,64700,60103
2017-07-05 12:00:00,64500,56425
2017-07-05 16:00:00,62880,56838
2017-07-05 20:00:00,62350,56603
2017-07-06 00:00:00,60490,58090
2017-07-06 04:00:00,61230,59171
2017-07-06 08:00:00,64100,58344
2017-07-06 12:00:00,61280,56634
2017-07-06 16:00:00,60010,55800
2017-07-06 20:00:00,59610,56557
2017-07-07 00:00:00,60400,56448
2017-07-07 04:00:00,60880,56903
2017-07-07 08:00:00,60900,54978
2017-07-07 12:00:00,59530,52890
2017-07-07 16:00:00,57600,51388
2017-07-07 20:00:00,57810,52027
