DAY,BITHUMB
2017-07-01 00:00:00,33020
2017-07-01 04:00:00,15220
2017-07-01 08:00:00,20260
2017-07-01 12:00:00,21700
2017-07-01 16:00:00,34080
2017-07-01 20:00:00,10260
2017-07-02 00:00:00,6420
2017-07-02 04:00:00,10020
2017-07-02 08:00:00,33040
2017-07-02 12:00:00,16960
2017-07-02 16:00:00,18880
2017-07-02 20:00:00,12360
2017-07-03 00:00:00,24780
2017-07-03 04:00:00,39380
2017-07-03 08:00:00,27260
2017-07-03 12:00:00,10000
2017-07-03 16:00:00,387660
2017-07-03 20:00:00,585980
2017-07-04 00:00:00,337000
2017-07-04 04:00:00,14060
2017-07-04 08:00:00,36160
2017-07-04 12:00:00,177300
2017-07-04 16:00:00,103760
2017-07-04 20:00:00,136180
2017-07-05 00:00:00,569120
2017-07-05 04:00:00,25940
2017-07-05 08:00:00,357880
2017-07-05 12:00:00,361640
2017-07-05 16:00:00,136320
2017-07-05 20:00:00,215980
2017-07-06 00:00:00,448180
2017-07-06 04:00:00,135100
2017-07-06 08:00:00,462880
2017-07-06 12:00:00,78320
2017-07-06 16:00:00,805740
2017-07-06 20:00:00,289680
2017-07-07 00:00:00,194580
2017-07-07 04:00:00,3640
2017-07-07 08:00:00,36320
2017-07-07 12:00:00,367600
2017-07-07 16:00:00,621120
2017-07-07 20:00:00,387240
